sku,product_name,category,supplier_name,supplier_country,warehouse_zone,current_stock,reorder_point,days_inventory_remaining,recommended_order_qty,unit_cost,estimated_po_cost,stock_status
SKU-1284,Single-Pole Smart Switch - Use Series,Electrical,Dudley Group Industrial,Germany,Aisle-A,2,546,0.2,1090,137.44,149809.6,CRITICAL
SKU-1118,Single-Pole Smart Switch - Still Series,Electrical,Rodriguez-Graham Logistics,China,Aisle-A,6,792,0.6,1578,71.23,112400.94,CRITICAL
SKU-1083,Pressure Treated Post 4x4 - Two Series,Lumber & Composites,"Gardner, Robinson and Lawrence Corp",China,Aisle-A,2,322,0.7,642,41.74,26797.08,CRITICAL
SKU-1099,Pressure Treated Post 4x4 - Some Series,Lumber & Composites,"Snyder, Campos and Callahan Industrial",USA,Aisle-C,7,114,0.8,221,62.76,13869.96,CRITICAL
SKU-1164,200A Main Breaker Panel - Over Series,Electrical,"Ross, Robinson and Bright Corp",Canada,Aisle-C,3,150,0.9,297,193.29,57407.13,CRITICAL
SKU-1380,Airless Paint Sprayer - Instead Series,Paint & Supplies,Morales-Jones Corp,Canada,Aisle-B,3,96,0.9,189,82.85,15658.65,CRITICAL
SKU-1355,Submersible Sump Pump 1/2HP - Doctor Series,Plumbing,Ryan PLC Logistics,USA,Bay-Racks,9,160,1.0,311,311.05,96736.55,CRITICAL
SKU-1146,3-in Deck Screws 5lb Box - Tonight Series,Hardware & Fasteners,"Ferrell, Rice and Maddox Industrial",Japan,Aisle-B,9,483,1.0,957,43.84,41954.88,CRITICAL
SKU-1435,Painter Tape Pro 1.88in - Capital Series,Paint & Supplies,"Ross, Robinson and Bright Corp",Canada,Bay-Racks,11,270,1.2,529,101.74,53820.46,CRITICAL
SKU-1016,LED Shop Light 4ft 5000K - Per Series,Electrical,Davis and Sons Industrial,USA,Aisle-D,11,105,1.2,199,27.5,5472.5,CRITICAL
SKU-1278,Padlock Laminated Steel - Late Series,Hardware & Fasteners,Garcia-James Logistics,Canada,Bay-Racks,4,77,1.2,150,20.69,3103.5,CRITICAL
SKU-1348,10-in Miter Saw - Science Series,Power Tools,Perez Inc Logistics,Vietnam,Aisle-D,11,960,1.3,1909,182.93,349213.37,CRITICAL
SKU-1084,Painter Tape Pro 1.88in - Wind Series,Paint & Supplies,Davis and Sons Industrial,USA,Aisle-C,13,120,1.4,227,41.33,9381.91,CRITICAL
